,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx,weights
12225,2,1.09,0.28,0.0,2.1,5.41687843328002,5.950779799836395,4.824137932989341,-0.04135232606748329,4.1295774882190015,1.4880440623125122,-0.11735634890344213,78.51509288280913,1488.2362654814804,0.00034955545906387647,0.0023393335189277886,0.0181,0.013814088244828385,0.04135232606748329
12295,2,1.1,0.28,0.0,2.1,5.523414517374433,6.596752709215336,4.961535200625608,1.0369339381231675,4.0769467619186965,1.5883894655893411,-0.1303363046351991,71.69472178291566,1321.5462287639912,0.0002830453967895943,0.0014457913501425557,0.0181,0.013407329112685868,1.0369339381231675
10742,1,1.19,0.28,0.0,2.1,1.904959736369268,2.3928605884144014,3.8794280795262175,0.16185312024606127,4.266837900779451,1.328309280718457,-0.2127424213199623,95.36276755786062,1991.8616696038973,0.0002759165761615838,0.0036136072518472007,0.0181,0.01109011765366556,0.16185312024606127
14208,1,1.12,0.28,0.0,2.1,4.1798122079574975,4.605006572339509,4.693988360961042,-0.016565513612055938,4.1951819250060804,1.3994672044797416,-0.1569991722270472,86.88251795958784,1726.6381009572833,0.00036794979642240357,0.002814803576302871,0.0181,0.01260896393828997,0.016565513612055938
3639,2,1.06,0.28,0.0,2.1,7.7064469775574675,9.830904555934085,5.461143655387746,-0.20591502177368165,3.676756261629409,2.468634248723586,-0.00932055849403486,35.87928930328688,573.2527289229298,0.0007016056757038298,0.0003921249119301917,0.0181,0.017715687725727135,0.20591502177368165
1579,1,1.07,0.28,0.0,2.1,0.6292563101568414,1.2132161664025305,5.220910024115425,-0.0835127520338729,4.44941593889479,1.0207716412193224,-0.019136656121012924,135.5535865792022,3100.87979842729,0.00015901473064496965,0.0032681049131379203,0.0181,0.017319761955962746,0.0835127520338729
11862,1,0.88,0.28,0.0,2.1,9.239019926921367,4.007281704316986,12.11448733159481,0.03714896563810599,4.4047048881441535,0.974616071619286,-0.09389846309454704,132.4729125320422,2903.2138034262707,0.0003428744285635223,0.003581585644822638,0.0181,0.014580758330108832,0.03714896563810599
9125,2,1.2,0.28,0.0,2.1,4.73339973287208,9.35299749415873,3.782354398433177,0.2040603207710181,3.7730568874003816,2.352636743313214,-0.016665668296871196,41.586720508036606,693.4586591695894,0.0011365354527678331,0.0004699227226061531,0.0181,0.01741858638015284,0.2040603207710181
3125,2,0.9,0.28,0.0,2.1,14.104210069046028,9.943763879025024,11.034172315856123,0.10971126849111992,3.6380236292210735,2.378449194706989,-0.014110952038121231,34.90347657588431,531.2270220105588,0.0005297709165103006,0.00019302210740634873,0.0181,0.017521352332558793,0.10971126849111992
2737,2,1.16,0.28,0.0,2.1,5.51130698576072,9.931307042400487,4.199255540080211,0.6530285679793845,3.6248692186634064,2.7426799468458642,-0.00744688936208818,31.997743861253362,507.62900007110915,0.000655871783566858,0.0004121436316694149,0.0181,0.01779228331795891,0.6530285679793845
17095,1,1.0,0.28,0.0,2.1,1.3495077316298305,1.3803644576060632,7.086683378199176,0.06290947138997932,4.485550803705029,0.9466060478786036,-0.024350240244963614,146.8373460929458,3422.629255146743,0.0001612718975734689,0.0029622983843255873,0.0181,0.017113086069666415,0.06290947138997932
427,2,1.15,0.28,0.0,2.1,5.477824125794704,9.105942962052108,4.31297783662831,1.105016945605452,3.8264021153697145,2.165825791869695,-0.02746393624422849,46.29397699782545,771.9182605994583,0.0011848943344374618,0.0005915133570900677,0.0181,0.016990831721582927,1.105016945605452
6082,1,1.14,0.28,0.0,2.1,0.12238448908462365,1.04892950825791,4.4426321398840525,0.19703876238417647,4.419407201471088,1.0906703366624555,-0.0063082222630709475,126.25725612361552,2851.3501981346226,0.00025447852506555894,0.004062865630905221,0.0181,0.01783899371989549,0.19703876238417647
118,1,1.02,0.28,0.0,2.1,4.638745372501716,3.2947486144505276,6.4924266393488015,-0.07525253155673571,4.33372661542691,1.138626939571349,-0.09981817013931372,112.81830735265068,2394.2043431960906,0.00016700625509947386,0.0022405310540825063,0.0181,0.014383361795644116,0.07525253155673571
4754,2,0.97,0.28,0.0,2.1,10.682181721166282,9.792843286577158,8.094449821985704,0.11888757151676067,3.7131132028835534,2.264891821768844,-0.014430107706739763,39.10431195270081,626.016755792403,0.0006707176869786167,0.00030998255644509864,0.0181,0.017508480917176918,0.11888757151676067
14722,2,1.2,0.28,0.0,2.1,3.80287780895408,6.02663806653134,3.782354398433177,-0.9548395616241198,4.035743368355335,1.7402879535474816,-0.17180889978585046,64.48019129069971,1181.201190990362,0.00031742294890239393,0.0008436421700136476,0.0181,0.012186238542734774,0.9548395616241198
4438,2,0.8,0.28,0.0,2.1,20.851386817540085,9.37369720063182,17.621887873516183,0.06508722334100643,3.979483778839549,1.5141072855654245,-0.05185460085408655,65.81700114024336,1148.421521849173,0.0013349139400503948,0.0005661050512392185,0.0181,0.016062900679025344,0.06508722334100643
