,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx,weights
18682,1,0.87,0.28,0.0,2.1,4.217316234142585,1.8375035096414627,12.671148526688686,0.12716202119271997,4.538456256815112,0.8307611419023853,-0.04264836426807518,166.78873838789062,4002.5018255934906,0.00020026080448535218,0.002709240990326184,0.0181,0.016407039006618884,0.12716202119271997
18345,1,1.1,0.28,0.0,2.1,2.8420409995701377,2.639864395205248,4.961535200625608,-0.12638044193156506,4.313404418164885,1.2104275786882537,-0.11863214948821604,106.5798877474075,2250.9674847932906,0.00013720048443520026,0.0020192729105463214,0.0181,0.013773566982382269,0.12638044193156506
1702,2,1.16,0.28,0.0,2.1,4.487929839802144,6.4844843336041285,4.199255540080211,0.4109012384384002,4.033862673927878,1.7144055273198069,-0.15690171715834494,65.49751892065551,1187.5911997045732,0.0003186678023613325,0.0013757596164165609,0.0181,0.012611793689483508,0.4109012384384002
13720,1,1.07,0.28,0.0,2.1,3.8127122216713487,3.225432222801442,5.220910024115425,0.24213944447261504,4.299032674596438,1.2137248064120536,-0.12112596326259947,104.9199676374241,2191.3715462951195,0.00014253064305008164,0.001944257575812347,0.0181,0.013694702796714208,0.24213944447261504
10259,1,0.94,0.28,0.0,2.1,4.359398344294147,2.2941421728184244,9.244176995912698,-0.10040998422576625,4.461103445394382,0.9439671492827532,-0.058132442793838876,143.22617508913186,3270.6509645097485,0.00018220560401535123,0.002676912132445808,0.0181,0.015832377340823982,0.10040998422576625
12077,2,1.1,0.28,0.0,2.1,6.700539727014066,9.861481509191265,4.961535200625608,-0.02768331565986902,3.657901188349834,2.5706733024723736,-0.009254028382401096,34.38091314263667,548.2829218014522,0.0006953093342645265,0.0003989092143239503,0.0181,0.017718401821838026,0.02768331565986902
15405,1,1.12,0.28,0.0,2.1,2.4298832210432835,2.4297460147816072,4.693988360961042,0.12106817544265569,4.312495032659144,1.2226613160255662,-0.12391258137918787,105.75842275301285,2237.923642349804,0.00015272006119451518,0.00228390503152176,0.0181,0.013607113065726203,0.12106817544265569
5484,2,1.18,0.28,0.0,2.1,4.767885980954296,8.293750241943425,3.985256389890727,1.8523116918150597,3.8886706996043454,2.0427395799300845,-0.07153054549891716,51.22454106890665,863.6462611761281,0.0015232152304682687,0.0023514146606532504,0.0181,0.01535140146492662,1.8523116918150597
11938,2,1.07,0.28,0.0,2.1,5.619358269052323,5.61799421186679,5.220910024115425,1.5573804565103853,4.16482089886729,1.415851048906532,-0.12087960863449072,83.74672547538661,1616.857569061238,0.0003711217713093598,0.0028632296903983168,0.0181,0.013702473354759829,1.5573804565103853
10691,1,1.06,0.28,0.0,2.1,4.609478691754177,3.923762525862443,5.461143655387746,0.4979535229927939,4.267743700063895,1.2523501130319068,-0.13076186049337796,99.79529041821579,2046.2485256850925,0.00024574102505580406,0.0027687066833549934,0.0181,0.013394197992638905,0.4979535229927939
