,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx
4586,2,1.03,0.28,0.0,2.1,8.118285193822883,8.701560090194997,6.227122736152007,0.14382003608170893,3.9569518004468502,1.7632363769051458,-0.0448456383555951,59.64050042381657,1033.1265902556063,0.001404176521688995,0.0016688973285656772,0.0181,0.016324238697228568
4587,1,1.09,0.28,0.0,2.1,4.504412590579528,4.406542448402228,4.824137932989341,1.1801698360994777,4.218702270456626,1.3435005301333265,-0.14274826958039658,91.11914769991668,1820.91510139034,0.0005158460704347941,0.00581186977734649,0.0181,0.013029576656294435
4588,2,0.98,0.28,0.0,2.1,9.997849414984467,9.178487369221298,7.729886802681186,0.005548533000946314,3.9213644951785533,1.7916571516841016,-0.03288544076064375,56.633952148537176,974.7409188646036,0.0012237350290270025,0.0006593557119199955,0.0181,0.01678004550005062
4589,2,0.82,0.28,0.0,2.1,19.671533478529195,9.996892912308207,16.034095100136632,0.040337900332035645,3.602333802009157,2.3652596134143,-0.01768972099533509,33.487220710376306,492.7104252127034,0.0005293965995297384,0.00015179907209550425,0.0181,0.017377562288304043
4590,2,0.86,0.28,0.0,2.1,13.831666867669744,6.787983789778827,13.258938850590713,0.056417152626133955,4.262153565189832,1.1347816822636332,-0.10354877371206868,104.62129952775896,2098.730414897586,0.0003255757377220479,0.001672282441601891,0.0181,0.014260337403269242
4591,1,0.83,0.28,0.0,2.1,6.1310769096733475,2.1145837109675085,15.272600428535487,0.002480641744930786,4.543399574863341,0.8068335250691221,-0.05434743477419605,170.35932738875607,4098.4708490252415,0.00022306538125698575,0.0026565543943998515,0.0181,0.015970964343889168
4592,2,0.95,0.28,0.0,2.1,9.81989625420718,6.984134926275711,8.823142337632476,-0.07118940248488063,4.1737748869963545,1.3201726179443465,-0.09262144518168017,87.84762825182219,1686.9504679348083,0.00028518633704074415,0.001266171730137211,0.0181,0.014623695306183482
4593,2,1.05,0.28,0.0,2.1,6.488224497815473,6.406937594375352,5.701476462362781,0.06803963872015642,4.1313118152455655,1.4574556612112155,-0.1041089501520372,79.62620835632951,1504.8310307105614,0.00032303248060376307,0.0017933938562549878,0.0181,0.01424195550869535
4594,2,0.94,0.28,0.0,2.1,11.696270473133113,9.27993066816285,9.244176995912698,0.05267729847703583,3.9240338544890534,1.7493372147259911,-0.03380030068865168,57.437587053785656,989.9690854514723,0.0012194709655831794,0.0005648840971668179,0.0181,0.016744734820262366
4595,1,1.14,0.28,0.0,2.1,2.3792125496273244,2.5311505507291012,4.4426321398840525,0.021725864987101273,4.291405261376553,1.2638469121005491,-0.14926767110428826,101.36844844070721,2125.4114558398724,0.00021603245687433446,0.0030320152114497456,0.0181,0.012835444221877509
4596,1,0.88,0.28,0.0,2.1,5.035360846864169,2.130881893003489,12.11448733159481,0.00029951211803003967,4.513696727257881,0.8596816349149321,-0.0525307615453297,159.43419453587975,3759.378616795466,0.00020127271295596727,0.00268470835086676,0.0181,0.016037911525479016
4597,2,1.05,0.28,0.0,2.1,6.6607674319913475,6.731346502793976,5.701476462362781,0.05581738803085135,4.109788184521835,1.493885756664036,-0.09769080739850444,76.81766392692977,1434.1258133303104,0.000925865178239298,0.004622740817288196,0.0181,0.014453990584272035
4598,2,1.03,0.28,0.0,2.1,8.523439687237168,9.69368818403265,6.227122736152007,0.016602834125067363,3.7421084795021367,2.257260079324129,-0.013432513582704631,40.61322872598605,664.1449812810891,0.0010203579469769365,0.0005206598191942469,0.0181,0.017548744918422895
