,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,hrgradient,fagegradient,initial_zx,star_zx
4227,1,1.1990769587260588,0.28,0.0,2.1,1.5843534748339108,0.331907182784518,3.7207226349248192,6398.721886314041,4.28107127992272,1.3116941015597414,-0.2043247710125106,97.24075959802431,0.0002577174858083039,0.0036689171846517876,0.0181,0.01130716693162746
4228,2,1.0439008806001355,0.28,0.0,2.1,7.424794307577287,0.9156281806423827,5.862122164455223,5834.722031313428,4.016589010852544,1.657646274844518,-0.06365170208323395,65.8126578337076,0.0016509873900172288,0.004152949845091514,0.0181,0.01563244368326845
4229,1,1.128017721544052,0.28,0.0,2.1,4.5704525183572215,0.7586039230978417,4.593693862495635,6146.378679627976,4.113304309563016,1.5431505724456918,-0.14906998597509022,75.52647149865281,0.000411188196914172,0.0021080841869041134,0.0181,0.012841288076987064
4230,1,0.8136647254837392,0.28,0.0,2.1,9.456366131387217,0.4704350683729046,16.51704471536441,5373.635659412149,4.507017312558963,0.8330263991918999,-0.0786806464929244,161.03074213205974,0.00033113784632281826,0.0034899783554762642,0.0181,0.015100729509631738
4231,2,0.8236162093393309,0.28,0.0,2.1,16.576393862086597,0.8609138944011563,15.74157640425576,5516.9238984212025,4.263662661137478,1.108512665461355,-0.10658694819334397,106.05894971882502,0.00029330429561079597,0.001288723947671988,0.0181,0.014160925131176933
4232,2,0.9733723793947712,0.28,0.0,2.1,9.023956204552947,0.8568458025150151,7.972049300410562,5817.312805492718,4.1501444354852,1.3730910676725243,-0.09190081437772207,83.89077761512827,0.0008423514784731686,0.0036396286814593948,0.0181,0.01464798074784472
4233,2,1.1686926491354517,0.28,0.0,2.1,5.1265071097181645,0.9740191622999957,4.10641879197193,5670.5059188229025,3.8278067933449247,2.1800004360655856,-0.03317107855804244,46.29327933958311,0.00122892063137952,0.0007258587287232166,0.0181,0.016769012803145186
4234,1,0.8136647254837392,0.28,0.0,2.1,13.42411822098182,0.6678227011719059,16.51704471536441,5460.610902696533,4.419335338323302,0.9215093621755536,-0.10808449278461776,138.70012214399358,0.0003546937687139383,0.003040603931023511,0.0181,0.01411217918314423
4235,2,0.9555987440125916,0.28,0.0,2.1,10.590448192070438,0.9393361471529229,8.624572596212923,5636.195462439445,4.036369492198195,1.550220166159742,-0.05921521287257987,69.59457173275152,0.0015979293794421627,0.0024944941380486974,0.0181,0.01579295369412313
4236,2,0.9555987440125916,0.28,0.0,2.1,9.682733202774127,0.8588249652562991,8.624572596212923,5785.61866151746,4.161982574545701,1.3420972495529262,-0.09102679784230687,85.99700629220085,0.000674296753349617,0.002880895217891921,0.0181,0.014677489454820317
4237,1,1.0765463607143848,0.28,0.0,2.1,3.319566207444659,0.45984173960361524,5.081790012319021,6121.970870275989,4.3176055108742455,1.1916762660873477,-0.1124962050460371,108.0744649696231,0.00014431446669193544,0.0021790102712635484,0.0181,0.013969548500325897
4238,1,1.1660237393358672,0.28,0.0,2.1,3.88468163630932,0.7317246373385009,4.136310520223437,6098.486440249907,4.1380937956141945,1.5249355011628054,-0.16260929307357766,78.00363804237445,0.000267369675668529,0.0020658193488751753,0.0181,0.01244713161576451
4239,1,1.1116978694410429,0.28,0.0,2.1,2.4655138047786083,0.38716998796781277,4.792621595891778,6206.0301516903455,4.320716598913781,1.2066456842698692,-0.1153943526286407,107.53369405498137,0.0001492449052556349,0.0022959587165182205,0.0181,0.013876636825684744
4240,2,1.1990769587260588,0.28,0.0,2.1,3.8710800230595344,0.8109549322141056,3.7207226349248192,6219.832049135797,4.024267600147672,1.7626696974292966,-0.171320078931466,63.37449626486207,0.0004092179840742234,0.001444471807442671,0.0181,0.012199962505241448
4241,1,1.1660237393358672,0.28,0.0,2.1,1.6480429208193301,0.31042791184826624,4.136310520223437,6332.286177793528,4.310168054957034,1.250876246111769,-0.1425850963875856,103.64658828954808,0.00022225241109904192,0.003466311971590502,0.0181,0.013034473050717418
4242,1,1.0439008806001355,0.28,0.0,2.1,2.358051412702158,0.29079570900304064,5.862122164455223,6044.954478419925,4.405716945511494,1.0602684437892185,-0.060487516524004886,126.68023539150823,0.00015627210326012012,0.0027666155433480055,0.0181,0.01574675456087373
4243,1,1.1116978694410429,0.28,0.0,2.1,2.1854327169226946,0.3431876783960668,4.792621595891778,6209.690715894771,4.336852569538158,1.1844364899553903,-0.1023188084060544,110.52949580439032,0.00013744916045848536,0.0022426729235159593,0.0181,0.014300781345277692
4244,1,1.128017721544052,0.28,0.0,2.1,3.740801823933052,0.6208984619726831,4.593693862495635,6142.859461872686,4.214180778049752,1.3740807295070596,-0.17161510621285528,89.43433914639687,0.0005365157158950233,0.004417726221631946,0.0181,0.012191677574987195
